ticker,company_name,sector,industry
MMM,Unknown,Unknown,Unknown
AOS,Unknown,Unknown,Unknown
ABT,Unknown,Unknown,Unknown
ABBV,Unknown,Unknown,Unknown
ACN,Unknown,Unknown,Unknown
ADBE,Unknown,Unknown,Unknown
AMD,Unknown,Unknown,Unknown
AES,Unknown,Unknown,Unknown
AFL,Unknown,Unknown,Unknown
A,Unknown,Unknown,Unknown
APD,Unknown,Unknown,Unknown
ABNB,Unknown,Unknown,Unknown
AKAM,Unknown,Unknown,Unknown
ALB,Unknown,Unknown,Unknown
ARE,Unknown,Unknown,Unknown
ALGN,Unknown,Unknown,Unknown
ALLE,Unknown,Unknown,Unknown
LNT,Unknown,Unknown,Unknown
ALL,Unknown,Unknown,Unknown
GOOGL,Unknown,Unknown,Unknown
GOOG,Unknown,Unknown,Unknown
MO,Unknown,Unknown,Unknown
AMZN,Unknown,Unknown,Unknown
AMCR,Unknown,Unknown,Unknown
AEE,Unknown,Unknown,Unknown
AEP,Unknown,Unknown,Unknown
AXP,Unknown,Unknown,Unknown
AIG,Unknown,Unknown,Unknown
AMT,Unknown,Unknown,Unknown
AWK,Unknown,Unknown,Unknown
AMP,Unknown,Unknown,Unknown
AME,Unknown,Unknown,Unknown
AMGN,Unknown,Unknown,Unknown
APH,Unknown,Unknown,Unknown
ADI,Unknown,Unknown,Unknown
AON,Unknown,Unknown,Unknown
APA,Unknown,Unknown,Unknown
APO,Unknown,Unknown,Unknown
AAPL,Unknown,Unknown,Unknown
AMAT,Unknown,Unknown,Unknown
APP,Unknown,Unknown,Unknown
APTV,Unknown,Unknown,Unknown
ACGL,Unknown,Unknown,Unknown
ADM,Unknown,Unknown,Unknown
ARES,Unknown,Unknown,Unknown
ANET,Unknown,Unknown,Unknown
AJG,Unknown,Unknown,Unknown
AIZ,Unknown,Unknown,Unknown
T,Unknown,Unknown,Unknown
ATO,Unknown,Unknown,Unknown
ADSK,Unknown,Unknown,Unknown
ADP,Unknown,Unknown,Unknown
AZO,Unknown,Unknown,Unknown
AVB,Unknown,Unknown,Unknown
AVY,Unknown,Unknown,Unknown
AXON,Unknown,Unknown,Unknown
BKR,Unknown,Unknown,Unknown
BALL,Unknown,Unknown,Unknown
BAC,Unknown,Unknown,Unknown
BAX,Unknown,Unknown,Unknown
BDX,Unknown,Unknown,Unknown
BRK-B,Unknown,Unknown,Unknown
BBY,Unknown,Unknown,Unknown
TECH,Unknown,Unknown,Unknown
BIIB,Unknown,Unknown,Unknown
BLK,Unknown,Unknown,Unknown
BX,Unknown,Unknown,Unknown
XYZ,Unknown,Unknown,Unknown
BNY,Unknown,Unknown,Unknown
BA,Unknown,Unknown,Unknown
BKNG,Unknown,Unknown,Unknown
BSX,Unknown,Unknown,Unknown
BMY,Unknown,Unknown,Unknown
AVGO,Unknown,Unknown,Unknown
BR,Unknown,Unknown,Unknown
BRO,Unknown,Unknown,Unknown
BF-B,Unknown,Unknown,Unknown
BLDR,Unknown,Unknown,Unknown
BG,Unknown,Unknown,Unknown
BXP,Unknown,Unknown,Unknown
CHRW,Unknown,Unknown,Unknown
CDNS,Unknown,Unknown,Unknown
CPT,Unknown,Unknown,Unknown
CPB,Unknown,Unknown,Unknown
COF,Unknown,Unknown,Unknown
CAH,Unknown,Unknown,Unknown
CCL,Unknown,Unknown,Unknown
CARR,Unknown,Unknown,Unknown
CVNA,Unknown,Unknown,Unknown
CASY,Unknown,Unknown,Unknown
CAT,Unknown,Unknown,Unknown
CBOE,Unknown,Unknown,Unknown
CBRE,Unknown,Unknown,Unknown
CDW,Unknown,Unknown,Unknown
COR,Unknown,Unknown,Unknown
CNC,Unknown,Unknown,Unknown
CNP,Unknown,Unknown,Unknown
CF,Unknown,Unknown,Unknown
CRL,Unknown,Unknown,Unknown
SCHW,Unknown,Unknown,Unknown
CHTR,Unknown,Unknown,Unknown
CVX,Unknown,Unknown,Unknown
CMG,Unknown,Unknown,Unknown
CB,Unknown,Unknown,Unknown
CHD,Unknown,Unknown,Unknown
CIEN,Unknown,Unknown,Unknown
CI,Unknown,Unknown,Unknown
CINF,Unknown,Unknown,Unknown
CTAS,Unknown,Unknown,Unknown
CSCO,Unknown,Unknown,Unknown
C,Unknown,Unknown,Unknown
CFG,Unknown,Unknown,Unknown
CLX,Unknown,Unknown,Unknown
CME,Unknown,Unknown,Unknown
CMS,Unknown,Unknown,Unknown
KO,Unknown,Unknown,Unknown
CTSH,Unknown,Unknown,Unknown
