ticker,market
VALE3.SA,bovespa
PETR4.SA,bovespa
PETR3.SA,bovespa
ITUB4.SA,bovespa
BBDC4.SA,bovespa
BBAS3.SA,bovespa
ABEV3.SA,bovespa
WEGE3.SA,bovespa
CMIG4.SA,bovespa
RENT3.SA,bovespa
SUZB3.SA,bovespa
SBSP3.SA,bovespa
ITSA4.SA,bovespa
UGPA3.SA,bovespa
CSAN3.SA,bovespa
ENEV3.SA,bovespa
RADL3.SA,bovespa
FLRY3.SA,bovespa
SMTO3.SA,bovespa
BEEF3.SA,bovespa
CSNA3.SA,bovespa
GGBR4.SA,bovespa
USIM5.SA,bovespa
LREN3.SA,bovespa
SANB11.SA,bovespa
BBDC3.SA,bovespa
YDUQ3.SA,bovespa
MULT3.SA,bovespa
EZTC3.SA,bovespa
MRVE3.SA,bovespa
