ticker,market
HCLTECH.NS,nifty50
RELIANCE.NS,nifty50
HDFCBANK.NS,nifty50
TCS.NS,nifty50
ICICIBANK.NS,nifty50
INFY.NS,nifty50
SBIN.NS,nifty50
BHARTIARTL.NS,nifty50
HINDUNILVR.NS,nifty50
ITC.NS,nifty50
KOTAKBANK.NS,nifty50
LT.NS,nifty50
AXISBANK.NS,nifty50
BAJFINANCE.NS,nifty50
WIPRO.NS,nifty50
ASIANPAINT.NS,nifty50
MARUTI.NS,nifty50
SUNPHARMA.NS,nifty50
TITAN.NS,nifty50
ULTRACEMCO.NS,nifty50
ONGC.NS,nifty50
NTPC.NS,nifty50
POWERGRID.NS,nifty50
M&M.NS,nifty50
TATASTEEL.NS,nifty50
ADANIENT.NS,nifty50
ADANIPORTS.NS,nifty50
BAJAJFINSV.NS,nifty50
TECHM.NS,nifty50
JSWSTEEL.NS,nifty50
