2026-06-05 15:49:54 | src.network.network_engine     | INFO     | Generating network sequence for sp500 with window w=60 (Total slices: 3713)
2026-06-05 15:50:49 | src.network.network_engine     | INFO     | Successfully constructed 3713 temporal graphs for sp500.
2026-06-05 15:50:49 | src.network.network_engine     | INFO     | Generating network sequence for nifty50 with window w=60 (Total slices: 3640)
2026-06-05 15:51:46 | src.network.network_engine     | INFO     | Successfully constructed 3640 temporal graphs for nifty50.
2026-06-05 15:51:46 | src.network.network_engine     | INFO     | Generating network sequence for bovespa with window w=60 (Total slices: 3664)
2026-06-05 15:52:58 | src.network.network_engine     | INFO     | Generating network sequence for sp500 with window w=60 (Total slices: 3713)
2026-06-05 15:53:59 | src.network.network_engine     | INFO     | Successfully constructed 3713 temporal graphs for sp500.
2026-06-05 15:53:59 | src.network.network_engine     | INFO     | Generating network sequence for nifty50 with window w=60 (Total slices: 3640)
2026-06-05 15:55:12 | src.network.network_engine     | INFO     | Successfully constructed 3640 temporal graphs for nifty50.
2026-06-05 15:55:12 | src.network.network_engine     | INFO     | Generating network sequence for bovespa with window w=60 (Total slices: 3664)
2026-06-05 15:56:27 | src.network.network_engine     | INFO     | Successfully constructed 3664 temporal graphs for bovespa.
2026-06-05 17:13:27 | src.network.network_engine     | INFO     | Generating network sequence for sp500 with window w=60 (Total slices: 3713)
2026-06-05 17:14:20 | src.network.network_engine     | INFO     | Successfully constructed 3713 temporal graphs for sp500.
2026-06-05 17:15:22 | src.network.network_engine     | INFO     | Generating network sequence for nifty50 with window w=60 (Total slices: 3640)
2026-06-05 17:16:38 | src.network.network_engine     | INFO     | Successfully constructed 3640 temporal graphs for nifty50.
2026-06-05 17:17:58 | src.network.network_engine     | INFO     | Generating network sequence for bovespa with window w=60 (Total slices: 3664)
2026-06-05 17:19:16 | src.network.network_engine     | INFO     | Successfully constructed 3664 temporal graphs for bovespa.
