2026-06-04 13:22:02 | src.utils.config_loader        | DEBUG    | Loaded config: config\settings.yaml
2026-06-04 13:22:02 | src.utils.config_loader        | INFO     | Project config loaded from config\settings.yaml
2026-06-04 13:22:13 | src.utils.config_loader        | DEBUG    | Loaded config: config\crisis_periods.yaml
2026-06-04 13:22:13 | src.utils.config_loader        | INFO     | Crisis periods loaded: 6 crises defined
2026-06-04 13:22:25 | src.utils.config_loader        | DEBUG    | Loaded config: config\settings.yaml
2026-06-04 13:22:25 | src.utils.config_loader        | INFO     | Project config loaded from config\settings.yaml
2026-06-04 13:22:25 | src.utils.config_loader        | DEBUG    | Loaded config: config\crisis_periods.yaml
2026-06-04 13:22:25 | src.utils.config_loader        | INFO     | Crisis periods loaded: 6 crises defined
2026-06-04 13:25:00 | src.utils.config_loader        | DEBUG    | Loaded config: config\settings.yaml
2026-06-04 13:25:00 | src.utils.config_loader        | INFO     | Project config loaded from config\settings.yaml
2026-06-04 13:25:00 | src.utils.config_loader        | DEBUG    | Loaded config: config\crisis_periods.yaml
2026-06-04 13:25:00 | src.utils.config_loader        | INFO     | Crisis periods loaded: 6 crises defined
2026-06-05 15:23:42 | src.utils.config_loader        | DEBUG    | Loaded config: config\settings.yaml
2026-06-05 15:23:42 | src.utils.config_loader        | INFO     | Project config loaded from config\settings.yaml
2026-06-05 15:27:27 | src.utils.config_loader        | DEBUG    | Loaded config: config\settings.yaml
2026-06-05 15:27:27 | src.utils.config_loader        | INFO     | Project config loaded from config\settings.yaml
2026-06-05 15:30:58 | src.utils.config_loader        | DEBUG    | Loaded config: config\settings.yaml
2026-06-05 15:30:58 | src.utils.config_loader        | INFO     | Project config loaded from config\settings.yaml
2026-06-05 15:32:47 | src.utils.config_loader        | DEBUG    | Loaded config: config\settings.yaml
2026-06-05 15:32:47 | src.utils.config_loader        | INFO     | Project config loaded from config\settings.yaml
2026-06-05 15:35:35 | src.utils.config_loader        | DEBUG    | Loaded config: config\settings.yaml
2026-06-05 15:35:35 | src.utils.config_loader        | INFO     | Project config loaded from config\settings.yaml
2026-06-05 15:37:31 | src.utils.config_loader        | DEBUG    | Loaded config: config\settings.yaml
2026-06-05 15:37:31 | src.utils.config_loader        | INFO     | Project config loaded from config\settings.yaml
2026-06-25 11:26:47 | src.utils.config_loader        | DEBUG    | Loaded config: config/settings.yaml
2026-06-25 11:26:47 | src.utils.config_loader        | INFO     | Project config loaded from config/settings.yaml
2026-06-25 11:28:18 | src.utils.config_loader        | DEBUG    | Loaded config: config/settings.yaml
2026-06-25 11:28:18 | src.utils.config_loader        | INFO     | Project config loaded from config/settings.yaml
2026-06-25 11:31:03 | src.utils.config_loader        | DEBUG    | Loaded config: config/settings.yaml
2026-06-25 11:31:03 | src.utils.config_loader        | INFO     | Project config loaded from config/settings.yaml
2026-06-25 12:10:15 | src.utils.config_loader        | DEBUG    | Loaded config: config/settings.yaml
2026-06-25 12:10:15 | src.utils.config_loader        | INFO     | Project config loaded from config/settings.yaml
2026-06-25 23:15:57 | src.utils.config_loader        | DEBUG    | Loaded config: config/settings.yaml
2026-06-25 23:15:57 | src.utils.config_loader        | INFO     | Project config loaded from config/settings.yaml
2026-07-21 19:12:17 | src.utils.config_loader        | DEBUG    | Loaded config: config/settings.yaml
2026-07-21 19:12:17 | src.utils.config_loader        | INFO     | Project config loaded from config/settings.yaml
2026-07-21 19:16:51 | src.utils.config_loader        | DEBUG    | Loaded config: config/settings.yaml
2026-07-21 19:16:51 | src.utils.config_loader        | INFO     | Project config loaded from config/settings.yaml
2026-07-23 10:29:53 | src.utils.config_loader        | DEBUG    | Loaded config: config/settings.yaml
2026-07-23 10:29:53 | src.utils.config_loader        | INFO     | Project config loaded from config/settings.yaml
2026-07-23 13:27:37 | src.utils.config_loader        | DEBUG    | Loaded config: config/settings.yaml
2026-07-23 13:27:37 | src.utils.config_loader        | INFO     | Project config loaded from config/settings.yaml
2026-07-23 22:19:33 | src.utils.config_loader        | DEBUG    | Loaded config: config/settings.yaml
2026-07-23 22:19:33 | src.utils.config_loader        | INFO     | Project config loaded from config/settings.yaml
2026-07-23 23:40:39 | src.utils.config_loader        | DEBUG    | Loaded config: config/settings.yaml
2026-07-23 23:40:39 | src.utils.config_loader        | INFO     | Project config loaded from config/settings.yaml
2026-07-24 00:20:35 | src.utils.config_loader        | DEBUG    | Loaded config: config/settings.yaml
2026-07-24 00:20:35 | src.utils.config_loader        | INFO     | Project config loaded from config/settings.yaml
2026-07-24 10:26:48 | src.utils.config_loader        | DEBUG    | Loaded config: config/settings.yaml
2026-07-24 10:26:48 | src.utils.config_loader        | INFO     | Project config loaded from config/settings.yaml
2026-07-28 18:03:09 | src.utils.config_loader        | DEBUG    | Loaded config: config/settings.yaml
2026-07-28 18:03:09 | src.utils.config_loader        | INFO     | Project config loaded from config/settings.yaml
2026-07-28 18:19:46 | src.utils.config_loader        | DEBUG    | Loaded config: config/settings.yaml
2026-07-28 18:19:46 | src.utils.config_loader        | INFO     | Project config loaded from config/settings.yaml
2026-08-06 15:30:24 | src.utils.config_loader        | DEBUG    | Loaded config: config/settings.yaml
2026-08-06 15:30:24 | src.utils.config_loader        | INFO     | Project config loaded from config/settings.yaml
2026-08-06 16:12:44 | src.utils.config_loader        | DEBUG    | Loaded config: config/settings.yaml
2026-08-06 16:12:44 | src.utils.config_loader        | INFO     | Project config loaded from config/settings.yaml
2026-08-06 16:25:37 | src.utils.config_loader        | DEBUG    | Loaded config: config/settings.yaml
2026-08-06 16:25:37 | src.utils.config_loader        | INFO     | Project config loaded from config/settings.yaml
2026-08-06 16:55:00 | src.utils.config_loader        | DEBUG    | Loaded config: config/settings.yaml
2026-08-06 16:55:00 | src.utils.config_loader        | INFO     | Project config loaded from config/settings.yaml
2026-08-06 17:37:05 | src.utils.config_loader        | DEBUG    | Loaded config: config/settings.yaml
2026-08-06 17:37:06 | src.utils.config_loader        | INFO     | Project config loaded from config/settings.yaml
2026-08-06 19:51:56 | src.utils.config_loader        | DEBUG    | Loaded config: config/settings.yaml
2026-08-06 19:51:56 | src.utils.config_loader        | INFO     | Project config loaded from config/settings.yaml
2026-08-06 20:27:03 | src.utils.config_loader        | DEBUG    | Loaded config: config/settings.yaml
2026-08-06 20:27:03 | src.utils.config_loader        | INFO     | Project config loaded from config/settings.yaml
2026-08-06 21:45:30 | src.utils.config_loader        | DEBUG    | Loaded config: config/settings.yaml
2026-08-06 21:45:30 | src.utils.config_loader        | INFO     | Project config loaded from config/settings.yaml
2026-08-07 08:35:23 | src.utils.config_loader        | DEBUG    | Loaded config: config/settings.yaml
2026-08-07 08:35:23 | src.utils.config_loader        | INFO     | Project config loaded from config/settings.yaml
2026-08-07 10:55:58 | src.utils.config_loader        | DEBUG    | Loaded config: config/settings.yaml
2026-08-07 10:55:58 | src.utils.config_loader        | INFO     | Project config loaded from config/settings.yaml
2026-08-20 15:15:00 | src.utils.config_loader        | DEBUG    | Loaded config: config/settings.yaml
2026-08-20 15:15:00 | src.utils.config_loader        | INFO     | Project config loaded from config/settings.yaml
2026-08-20 15:15:17 | src.utils.config_loader        | DEBUG    | Loaded config: config/settings.yaml
2026-08-20 15:15:17 | src.utils.config_loader        | INFO     | Project config loaded from config/settings.yaml
2026-08-20 15:17:44 | src.utils.config_loader        | DEBUG    | Loaded config: config/settings.yaml
2026-08-20 15:17:44 | src.utils.config_loader        | INFO     | Project config loaded from config/settings.yaml
2026-08-20 16:00:52 | src.utils.config_loader        | DEBUG    | Loaded config: config/settings.yaml
2026-08-20 16:00:52 | src.utils.config_loader        | INFO     | Project config loaded from config/settings.yaml
2026-08-20 16:01:06 | src.utils.config_loader        | DEBUG    | Loaded config: config/settings.yaml
2026-08-20 16:01:06 | src.utils.config_loader        | INFO     | Project config loaded from config/settings.yaml
2026-08-20 16:02:27 | src.utils.config_loader        | DEBUG    | Loaded config: config/settings.yaml
2026-08-20 16:02:27 | src.utils.config_loader        | INFO     | Project config loaded from config/settings.yaml
2026-08-20 19:54:28 | src.utils.config_loader        | DEBUG    | Loaded config: config/settings.yaml
